T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2,T1_B1_O1,T2_B1_O1,T1_B1_O1,T1_B1_O1,T2_B1_O2,T1_B1_O2
0.9616,0.982,0.992,0.9888,0.9887,0.8986,3.2683558161566157,4.138017264299519,4.958486387509844,5.243587750517661,4.695754012293749,4.966772543795597,0.9606,0.9767,0.9838,0.9863,0.9229,14.985547681318463,0.9872,18.97298167896539,21.22386359842433,21.423578422339737,20.01599258634029,21.497136878309902,0.9443,0.9521,0.9555,0.9735,0.9157,2.4725692837789035,0.974,3.130483631211688,3.124807762177068,2.906461969499144,2.895642124392824,3.138642420371526,0.9597,0.9846,0.9923,0.994,0.9445,6.162831158087779,0.994,7.802669955047579,11.93129950624662,11.959883033170478,10.509479855851568,11.925466327776707,0.9668,0.9908,0.9962,0.9934,0.9185,3.917767458860897
0.9623,0.9686,0.9754,0.973,0.9727,0.8971,3.361980306191643,4.256553855147748,4.644688789099203,4.760159980139544,4.525014336506912,4.64668467057313,0.9682,0.9732,0.9778,0.9871,0.9379,15.906045763685782,0.9865,20.13841077262807,21.3915966332574,20.452668579605376,20.06686236413745,21.38526235393395,0.9786,0.9888,0.9901,0.9975,0.9589,3.212599698949158,0.9976,4.06742526374247,5.393140662829686,5.214885799525435,5.158343216076771,5.40855078023854,0.9521,0.9784,0.9851,0.988,0.9338,5.556902188196503,0.9883,7.035512191515636,9.25747133744529,9.320847196046884,8.04055542535114,9.25513386248403,0.979,0.9954,0.9974,0.9971,0.9418,4.336364294543725
0.9707,0.9693,0.9829,0.9774,0.9773,0.9159,3.4340709558564955,4.347826767182927,4.551799455341648,4.712068269098916,4.321015267347025,4.5468898967578735,0.9499,0.965,0.97,0.9715,0.9088,14.439202345610983,0.9724,18.28126187898179,19.08523049057438,18.529444138827564,18.01762789265616,19.17526680695545,0.9706,0.9766,0.9878,0.9973,0.9457,3.085984796263305,0.9973,3.907119996292189,5.150045025862108,5.18822522146248,4.5163520462456965,5.1607219450075545,0.9312,0.9436,0.9482,0.964,0.9063,4.591186673160857,0.9641,5.812833970905426,5.893821905146959,5.838137498244623,5.687323599081511,5.915850989487041,0.9662,0.9704,0.9827,0.9796,0.9166,3.9048655746153305
0.9778,0.9754,0.981,0.9852,0.9852,0.9288,3.5922469924080174,4.548091122371267,4.804893409122913,4.678438664788365,4.488131303881995,4.806591531723736,0.9823,0.9879,0.9922,0.9959,0.9596,17.47434406426615,0.9959,22.124010201947424,24.552328437061192,24.021076114551807,23.492137164514588,24.565664818397074,0.9427,0.9727,0.9826,0.982,0.913,2.449813209110108,0.9822,3.1016724995161504,3.3989034400818725,3.433739213557168,3.233524994185055,3.4069553281083653,0.9516,0.9799,0.9858,0.9924,0.932,5.697679816420737,0.9924,7.213748677622603,10.921901019677186,10.94359937765497,9.104864239547098,10.909462210852588,0.9634,0.9514,0.9549,0.9625,0.9139,3.856217980207932
0.98,0.9595,0.9673,0.9745,0.9746,0.9327,3.644765114230284,4.614583544559461,4.455630497617774,4.233157573142631,4.070389675631707,4.458381294029808,0.9353,0.9653,0.9794,0.9792,0.8834,13.197931761013766,0.9798,16.709707434591305,19.965194280129808,20.298199631708652,18.160974564263974,20.08264231607305,0.9458,0.9707,0.9744,0.9922,0.9148,2.643169862799007,0.9922,3.346478517017858,4.152832076346462,4.12627645913534,3.8026943027947446,4.155085369301498,0.9454,0.9878,0.9935,0.9932,0.922,5.422600887806862,0.9932,6.865475288898429,11.367163912321896,11.3943398334273,9.1406796589928,11.355624289048215,0.9718,0.9771,0.9837,0.9809,0.9272,4.080466261270625
0.9517,0.966,0.9709,0.9709,0.9709,0.8782,3.109937580796795,3.937446264759551,4.364539700067732,4.363319671620861,4.247889007138914,4.368962479232785,0.9851,0.9878,0.9907,0.9963,0.9678,19.03572639445844,0.9962,24.10085342280141,24.57780132563918,23.58840629137025,23.15980910885612,24.54133763295481,0.9597,0.9538,0.9601,0.991,0.9341,2.688498922084896,0.9911,3.4038689727853213,3.9994436653884464,3.982966259225566,3.5444215048457166,4.002760504350282,0.9596,0.9735,0.9825,0.988,0.9442,6.171447736577509,0.9884,7.81357927843686,9.28773295437226,9.202056885764955,9.000506521112767,9.31239516961453,0.9698,0.9809,0.983,0.9829,0.9244,4.093293602603052
0.9766,0.9766,0.9802,0.9801,0.9802,0.9274,3.575780551221274,4.5272432031895535,4.621674740361692,4.6272718704525735,4.522712613016786,4.631459268716039,0.9736,0.9827,0.9852,0.9876,0.9478,16.65941144932878,0.9876,21.092235995117925,21.807412354203684,20.98969913263708,20.608040284095225,21.773064697738835,0.9644,0.9785,0.9829,0.9848,0.9387,2.867152324144004,0.9851,3.6300594194900406,3.545104202580873,3.490314509268675,3.4159989091043568,3.5499264587857864,0.9599,0.9799,0.9821,0.9929,0.9444,6.333664773392165,0.9929,8.01895988466838,11.227612777461736,11.196934081095042,10.26218123912633,11.233964291463742,0.9702,0.9723,0.9736,0.9747,0.9219,4.099722622861903
0.9868,0.978,0.9834,0.9891,0.9892,0.9489,3.859226849953989,4.886110396247204,5.0094894267114505,4.809239231441584,4.63378351916369,5.005706067637656,0.9866,0.9964,0.9973,0.9997,0.9701,19.19649591139851,0.9997,24.3044013453937,33.000351646490174,33.33761116698171,28.2881382073546,33.07815324593909,0.9804,0.9877,0.9881,0.9982,0.9597,3.4960036564345374,0.9982,4.426238849169152,5.570301743492244,5.548810407216331,5.384481222096665,5.586027025280963,0.9454,0.971,0.9727,0.9722,0.9231,5.135880987694151,0.9724,6.5024634372451935,6.707973599159075,6.65193712816205,6.514317657819131,6.723301515844713,0.9635,0.9783,0.9862,0.9837,0.9135,3.855983784647637
0.9766,0.9861,0.9956,0.9903,0.9906,0.9265,3.5650718351061426,4.513685055100584,5.161937017908415,5.507370546671204,4.9308241094541945,5.18338166730198,0.9783,0.9888,0.9921,0.9973,0.9517,16.78753009685986,0.9975,21.254445131816432,26.20380390489733,26.42653699516609,23.31483411798633,26.28192740161962,0.9307,0.9511,0.9563,0.9767,0.8987,2.194233853538992,0.9772,2.7780872336391056,3.170363313348751,3.103280438951445,2.993077415504276,3.1835289552581583,0.9625,0.9349,0.9424,0.997,0.9475,6.577357234330616,0.997,8.327495327950919,15.381068817804,15.326236473511068,10.504805421056126,15.384345392737249,0.9476,0.97,0.9859,0.9801,0.8854,3.520994836924207
0.9747,0.9725,0.9726,0.9789,0.979,0.9228,3.5189708644263007,4.4553172936619045,4.676934943265032,4.490830044356847,4.490807701268678,4.671372321456015,0.9393,0.9662,0.9684,0.9706,0.8906,13.54240055196336,0.9706,17.14583430820631,19.005453483712216,18.361800732696288,18.021600076967808,18.98724132105072,0.9762,0.9781,0.9788,0.9878,0.9557,2.999986349348733,0.9879,3.798238626559957,3.7009332613519503,3.5251334877200176,3.5164339045994555,3.719846035175772,0.9718,0.9868,0.9897,0.996,0.9588,7.534587265103088,0.996,9.539430201645418,14.156169819926085,14.121184962246629,12.172675727053903,14.159328935450624,0.9592,0.9725,0.9773,0.9739,0.904,3.735713760783303
0.9379,0.9639,0.9831,0.9761,0.9765,0.8587,2.968863494198569,3.758834437062278,4.503432084871664,4.761736032634689,4.184436867196075,4.5108162309243,0.9744,0.9859,0.9909,0.9952,0.9423,16.025775641509878,0.9954,20.289999011289066,24.367717628056823,24.649416919384414,22.43438633761381,24.426973861429385,0.9883,0.9841,0.9855,0.9999,0.9782,4.152325780212518,0.9999,5.257198644216408,9.362600676680088,9.35951095634866,7.372496736964863,9.362721582805666,0.9294,0.9783,0.9788,0.9785,0.9037,4.574404347382795,0.9785,5.791586114885152,7.45169805068441,7.336426882635112,7.232227827749218,7.450085204442272,0.9789,0.9919,0.9954,0.9947,0.9412,4.316387715304314
0.9867,0.9827,0.986,0.99,0.9896,0.9478,3.849635509015442,4.873966940447413,5.20662552747838,5.08241556484689,4.894899078305274,5.209568163743045,0.9643,0.9868,0.9949,0.9937,0.9317,15.842109106265262,0.9938,20.05746151033544,23.614219284550902,24.097765599438983,22.02408730945517,23.638359061909146,0.9464,0.9735,0.9798,0.9822,0.9188,2.446988781153971,0.9823,3.09809653279108,3.4593012508558725,3.384517104047803,3.268659995753496,3.457539864925357,0.9531,0.9814,0.9844,0.9899,0.9341,5.924821756874197,0.9899,7.501329750159618,9.936543149918144,9.879526763341625,9.136084498165552,9.948807452197372,0.9731,0.9799,0.9856,0.9865,0.932,4.13875755276137
0.9587,0.9623,0.9699,0.9738,0.974,0.8903,3.272341768000933,4.143063819348673,4.574743749350115,4.667169857087254,4.339210064965516,4.571851200203767,0.9539,0.9776,0.9783,0.9873,0.9112,14.365527898961838,0.987,18.18798374486163,21.52896696458629,20.755777193277112,20.69725596490182,21.47928413121742,0.9577,0.9726,0.9792,0.9852,0.9298,2.7340446321441387,0.9856,3.461533726912843,3.627808221212661,3.552564304313836,3.371331571721693,3.649351672509247,0.9343,0.97,0.9742,0.9756,0.9098,4.791779351157853,0.9757,6.06680141243685,6.994962982337416,6.88253286947643,6.816584471529464,7.010361369908583,0.9721,0.9866,0.9921,0.9896,0.9268,4.093622668450391
0.9786,0.9803,0.9814,0.986,0.9865,0.9305,3.6606544022342407,4.634700738578783,5.201227052827543,5.125518141646467,4.993492927790845,5.2087595229931,0.9812,0.9818,0.9879,0.9959,0.9611,17.6042356710984,0.9957,22.288464056360223,25.88630198587297,26.350288428170437,23.758809317550856,25.877012321965918,0.9387,0.9411,0.9568,0.9697,0.908,2.3930277682869985,0.9697,3.0297772874571365,2.974748429153064,2.9759615217717736,2.6973587670160017,2.972567056974416,0.9667,0.9929,0.9964,0.9986,0.9514,7.206359206309049,0.9986,9.123865480324952,17.704681158862943,17.71642179331863,13.182525329000354,17.70179772969132,0.9578,0.9439,0.9474,0.9613,0.9054,3.745838579392839
0.9599,0.9651,0.9711,0.9713,0.9712,0.8909,3.2104204916495678,4.064666201407941,4.403033736974804,4.403703525363525,4.241835546746048,4.409354998837943,0.976,0.9815,0.9882,0.9933,0.9499,16.64563317392914,0.9933,21.07479152313169,23.245851613467813,23.21720604887684,21.557048466607423,23.336342186138918,0.9773,0.9829,0.9875,0.9959,0.957,3.15450592066294,0.9959,3.993873584849855,4.759596462333929,4.776297636729437,4.2015061895343,4.758552354130513,0.9543,0.9639,0.9758,0.9904,0.9364,5.714351542163855,0.9904,7.234856504564106,10.199093707568288,10.189301725875715,8.119851506231027,10.190776625666658,0.9623,0.9803,0.9888,0.9837,0.9136,3.8765676992122207
0.9589,0.9809,0.9918,0.9859,0.9857,0.8923,3.335512435309913,4.223043272818726,4.891693855798257,5.159524101981276,4.679734716294529,4.8920811346139885,0.9435,0.92,0.9271,0.9453,0.8844,13.090380798731996,0.9462,16.573538741906752,16.291153098458974,15.030626214707974,14.717245057690493,16.33087355694016,0.9765,0.9908,0.9947,0.9953,0.9541,3.2381764354699447,0.9953,4.099807593953968,4.734693416575214,4.736940479626532,4.288902390225366,4.728827569995066,0.9648,0.956,0.9653,0.9909,0.9503,6.741219150307966,0.9909,8.534958491515782,10.267134321821842,10.238482541512765,9.500314445090394,10.258699996646094,0.9473,0.9593,0.9619,0.9625,0.8875,3.5273173319372546
0.9564,0.9669,0.9829,0.9747,0.9742,0.8881,3.2700636316136142,4.140179504350118,4.708870259183204,5.005976849166899,4.487179938739876,4.7371963874477485,0.9472,0.9688,0.9713,0.9763,0.8972,13.689589768126565,0.9766,17.332188411572655,19.437752167040824,18.743730822637044,18.501489157244027,19.446989550283035,0.981,0.9762,0.9793,0.9944,0.9627,3.35401617748426,0.9945,4.246470588838937,4.334570795819658,4.20644174849422,4.177753313309034,4.345460244360842,0.9772,0.9889,0.9947,0.9958,0.9667,8.252129984612106,0.9958,10.447900493197809,13.78268518055386,13.724786687603498,12.389828104278273,13.797002634072722,0.9685,0.9858,0.9888,0.9894,0.9252,4.0018520440795085
0.9761,0.9878,0.9955,0.9923,0.993,0.9255,3.5589614279674158,4.505948758425982,5.241164451151489,5.638745183829967,4.981489894369881,5.259864366373354,0.9401,0.9529,0.9563,0.9612,0.8735,12.724297950714972,0.9601,16.11004662829724,17.5746496895531,17.18018468294381,16.86583092072046,17.486714554442408,0.9596,0.9688,0.9749,0.9792,0.9338,2.6712977881305227,0.9794,3.382090869888181,3.3676335435742395,3.2129439432696563,3.1226207948039613,3.362390263335049,0.9524,0.9837,0.9925,0.9931,0.9331,5.7979371397614665,0.9931,7.34068300123742,11.267623287587645,11.271207363826418,8.511700645176557,11.271079720633551,0.9554,0.9555,0.9677,0.9646,0.8971,3.64864210355363
0.9615,0.979,0.9844,0.9817,0.9818,0.8982,3.2631932016125087,4.131480953899399,4.69072163200754,4.790319288318761,4.585499700990587,4.710221086623667,0.9809,0.9842,0.9937,0.9958,0.9602,17.634254068945708,0.9963,22.326469908698805,26.128060098867827,26.855446512145303,24.224919950114423,26.298645573218597,0.962,0.9545,0.9581,0.9946,0.9347,2.8646800118894573,0.9946,3.626929261279763,4.457666539743721,4.446087968596078,3.93193000348458,4.459509114071575,0.9814,0.9934,0.996,0.9967,0.9721,9.198574134561074,0.9967,11.646179521700144,15.23955152719375,15.224561098428785,13.71565124930441,15.243835991543584,0.9728,0.9731,0.983,0.9794,0.9272,4.112307766281999
0.9615,0.9622,0.9804,0.9763,0.9761,0.894,3.27672547455025,4.148613965784083,4.651801015049077,4.861417643586493,4.372659864407393,4.640217316340075,0.9717,0.9733,0.9824,0.9873,0.9416,15.973601451795767,0.9869,20.22394203648829,21.42961777674145,21.06119325396104,19.93951776009113,21.374005838497677,0.9783,0.9837,0.9852,0.9949,0.9577,3.2853978354058766,0.9949,4.159593914407003,4.558673598781524,4.54854585163986,4.376958920038756,4.569403770046125,0.9491,0.9823,0.9867,0.989,0.9284,5.606485481425612,0.989,7.09828887035477,9.488484234367569,9.47807149156684,8.48863277083388,9.48941923195259,0.9675,0.9596,0.9687,0.9695,0.9224,3.9685141987618415
0.9764,0.9852,0.9914,0.9905,0.9913,0.9263,3.5790969721329025,4.531442074964825,5.475018681858334,5.818180448445489,4.979067519129203,5.4923093623334855,0.9851,0.9647,0.9747,0.9914,0.9678,18.27112210690818,0.9912,23.132799171608823,23.788198312622647,22.45119850339012,22.006145589806437,23.858525215334183,0.951,0.9656,0.9699,0.9734,0.9236,2.509557158697385,0.9738,3.1773134360407145,3.1399997034580807,2.9983794039850684,2.9665484546575938,3.149346626426889,0.9724,0.9918,0.9943,0.9966,0.9598,7.785241050745245,0.9967,9.856779275825774,15.13550259085032,15.095019531142556,13.0654531734537,15.150744856146389,0.9704,0.9741,0.9785,0.9795,0.9279,4.048167948982727
0.9612,0.9751,0.9894,0.9834,0.9827,0.8969,3.2503397334158888,4.115207366721158,4.856673229815424,5.20778050192424,4.483793708040662,4.863023679188107,0.9498,0.9685,0.9734,0.9735,0.9101,14.752132142483628,0.9735,18.67745769571985,19.60577057686404,18.930531112411547,18.33126858199059,19.50943062129104,0.9823,0.9807,0.9837,0.9981,0.9658,3.4844423910132045,0.9981,4.411601300933389,5.423742049109825,5.447542384730098,5.020271968297621,5.434085647263473,0.9531,0.9734,0.9877,0.9898,0.9347,5.839037826020714,0.9898,7.39271997605962,9.80308252870718,9.803969531113092,8.209197247809604,9.809719722243877,0.9629,0.9546,0.9582,0.9687,0.9099,3.902682123192614
0.9554,0.9602,0.9751,0.9716,0.9695,0.8851,3.215007596148543,4.070473866998106,4.480826119352148,4.53662200154308,4.270714581498634,4.4316105855827095,0.9848,0.979,0.9844,0.9943,0.9663,18.2168882873098,0.9938,23.06413452968165,24.5212942224556,24.755638938303328,22.895871311316863,24.632947479190133,0.958,0.961,0.9686,0.9733,0.9313,2.584649899953427,0.9733,3.272387252118207,3.1366410119136283,3.0230460097800256,2.924338493375285,3.1291031108352896,0.9609,0.9707,0.9786,0.9924,0.9448,6.636208794354602,0.9924,8.402006423164718,10.896743634214443,10.915430374137555,10.556412512723828,10.895518080285038,0.9761,0.9744,0.979,0.9792,0.9383,4.265272071559406
0.9541,0.949,0.9583,0.9635,0.9635,0.8825,3.1463499295660617,3.9835474043894794,4.172757452797487,4.082614483044834,3.889674469910045,4.178513887580477,0.9697,0.9678,0.9736,0.9897,0.9392,15.904390146246836,0.9897,20.136314619720984,25.94080848683612,26.08903663840033,21.73294305552572,25.984505529982663,0.9815,0.9846,0.9904,0.9982,0.9626,3.536243901350513,0.9982,4.47718643185241,5.540436232600244,5.558763543378715,4.81515996526021,5.537222577264505,0.9713,0.986,0.9893,0.9949,0.957,7.49857044830878,0.9949,9.493829839235913,12.395047531169054,12.41445030814055,11.569199173390274,12.400618138655084,0.9813,0.9899,0.993,0.9917,0.948,4.482840264412307
0.9739,0.9675,0.98,0.9802,0.9801,0.9205,3.49648959005108,4.4268540825793625,4.658930340382985,4.662184404248487,4.32056251406427,4.656035615097734,0.9751,0.991,0.9914,0.9933,0.9484,16.650763909477117,0.9935,21.08128747200333,23.53770650315715,23.042792096588112,22.92421240147914,23.63241873696159,0.9721,0.9919,0.9974,0.9982,0.9458,3.229778612209736,0.9982,4.089175233345769,5.595047412810882,5.597839957613876,5.012010209830109,5.606363506319248,0.9844,0.9982,0.9995,0.9995,0.9765,10.239168517747748,0.9996,12.963660776792851,25.36174466297971,25.31638574380303,17.150464508875935,25.373593358713865,0.9617,0.9636,0.9685,0.9711,0.9079,3.804920755454892
0.9815,0.9833,0.9949,0.992,0.9921,0.9355,3.735322420579271,4.729236819220733,5.156169061927187,5.400584574290176,4.7254248820387454,5.161457962191001,0.9783,0.9964,0.9978,0.9996,0.9547,18.33964838593856,0.9996,23.219559286368725,35.06519275507139,35.59385833660054,29.270504722365786,35.13215996726321,0.9804,0.9947,0.9988,0.9995,0.96,3.439936900305564,0.9995,4.355253553238985,6.793545212720306,6.85311077273691,5.57252520742606,6.785844221846817,0.9812,0.9803,0.9898,0.9983,0.9717,9.218600649427898,0.9983,11.67153479784634,17.181691556167376,17.207363871947642,15.832029634291697,17.181590595838802,0.9606,0.9754,0.9782,0.978,0.9057,3.765722671799563
0.9845,0.9872,0.9928,0.9928,0.993,0.9412,3.839421380835215,4.861034982873941,5.297584322213011,5.258375069878442,5.004565844537682,5.306471228783135,0.9772,0.9275,0.9311,0.9756,0.9449,16.19555017174145,0.9759,20.504948048864385,20.753176494142878,19.437023711303315,19.35390487716496,20.79898351419556,0.9493,0.9775,0.9888,0.988,0.9208,2.5547588537353203,0.988,3.234542637805696,3.777793308115729,3.8033602017319295,3.3612032880628617,3.7776381555041634,0.9521,0.9791,0.9804,0.9857,0.9321,5.768469495711412,0.9857,7.303374450187202,8.777731749230696,8.708707548617623,8.472127350277846,8.788579602137853,0.9753,0.9929,0.9967,0.9953,0.9339,4.190535098040809
0.9714,0.9754,0.9835,0.9804,0.9799,0.9143,3.437163285507911,4.351741920307077,4.636149610650914,4.743655405734259,4.484939043235013,4.621839788636838,0.9826,0.9888,0.9926,0.9987,0.9643,18.6715406360762,0.9987,23.63976318649725,32.30637236932969,32.85972560583589,27.60913110549704,32.32518868975054,0.941,0.9874,0.9928,0.9922,0.9086,2.588527671269849,0.9921,3.2772968413909043,4.174862507988191,4.181262096587891,3.870929068407427,4.164293367197815,0.9501,0.9729,0.9775,0.9879,0.9295,5.692555912921294,0.988,7.2072613787072,9.279593433496974,9.23236790695337,8.424866426530418,9.288945029525095,0.975,0.9877,0.9934,0.9907,0.9344,4.18276073860925
0.983,0.9747,0.977,0.9858,0.9857,0.9402,3.783346151706093,4.790038959402812,5.045196571136231,4.895245994965426,4.668693933115335,5.039480383034755,0.9766,0.9831,0.9907,0.9914,0.9505,16.706982304719766,0.9912,21.152464755986703,22.73595117583102,23.45249264007507,21.369623409683136,22.73277717665184,0.9357,0.9724,0.9803,0.9858,0.9032,2.3675576849122804,0.9863,2.997529989226411,3.620925253197485,3.556489541112437,3.4281005751979965,3.6300937166158618,0.9188,0.9416,0.9474,0.9641,0.8948,4.199527210837726,0.9641,5.316959681818621,5.93773664181664,5.932288222325437,5.576412452129038,5.939993373430724,0.9636,0.978,0.9798,0.9806,0.9107,3.829758945269334
0.9614,0.9761,0.9888,0.9832,0.9831,0.8967,3.254844815173889,4.1209111845244495,4.753587923346089,5.0040131886603225,4.499263284784362,4.726234611247016,0.9638,0.9873,0.9959,0.9963,0.9295,15.379103663782958,0.9963,19.4712571243303,25.954902102322787,26.77769308607944,22.91458471964976,25.988467256423096,0.941,0.9659,0.9703,0.974,0.9119,2.3888323231039963,0.9741,3.0244654959707686,3.157853258354749,3.009712621156501,2.973749072438018,3.158038915696022,0.9214,0.939,0.9432,0.9427,0.8968,4.251477488546054,0.9436,5.382733164919678,4.859616842087331,4.747384126752226,4.578828550978563,4.896774364393577,0.9731,0.9849,0.9909,0.9884,0.9325,4.139917406284621
