,T2_B1_O1,T1_B1_O1,T3_B1_O1,T4_B1_O1,T3_B1_O2,T1_B1_O2,T2_B1_O2,T4_B1_O2,T2_B2_O1,T1_B2_O1,T3_B2_O1,T4_B2_O1,T3_B2_O2,T1_B2_O2,T2_B2_O2,T4_B2_O2,T2_B3_O1,T1_B3_O1,T3_B3_O1,T4_B3_O1,T3_B3_O2,T1_B3_O2,T2_B3_O2,T4_B3_O2,T2_B4_O1,T1_B4_O1,T3_B4_O1,T4_B4_O1,T3_B4_O2,T1_B4_O2,T2_B4_O2,T4_B4_O2,T2_B5_O1,T1_B5_O1,T3_B5_O1,T4_B5_O1,T3_B5_O2,T1_B5_O2,T2_B5_O2,T4_B5_O2,T2_B6_O1,T1_B6_O1,T3_B6_O1,T4_B6_O1,T3_B6_O2,T1_B6_O2,T2_B6_O2,T4_B6_O2,T2_B7_O1,T1_B7_O1,T3_B7_O1,T4_B7_O1,T3_B7_O2,T1_B7_O2,T2_B7_O2,T4_B7_O2,T2_B8_O1,T1_B8_O1,T3_B8_O1,T4_B8_O1,T3_B8_O2,T1_B8_O2,T2_B8_O2,T4_B8_O2,T2_B9_O1,T1_B9_O1,T3_B9_O1,T4_B9_O1,T3_B9_O2,T1_B9_O2,T2_B9_O2,T4_B9_O2
0,0.982,0.992,0.9888,0.9887,4.958486387509844,5.243587750517661,4.695754012293749,4.966772543795597,0.9767,0.9838,0.9863,0.9872,21.22386359842433,21.423578422339737,20.01599258634029,21.497136878309902,0.9521,0.9555,0.9735,0.974,3.124807762177068,2.906461969499144,2.895642124392824,3.138642420371526,0.9846,0.9923,0.994,0.994,11.93129950624662,11.959883033170478,10.509479855851568,11.925466327776707,0.9908,0.9962,0.9934,0.9935,6.855158861095284,7.380238421266425,6.370300920736137,6.893044108915204,0.9496,0.9524,0.9984,0.9985,11.10810257067116,11.011754603256156,9.98283395190535,11.128165922340086,0.9541,0.9567,0.9614,0.9605,0.5853931522124891,0.5526441308662098,0.5493649118289692,0.5831471306642046,0.9725,0.9848,0.9978,0.9978,18.565602350671067,18.465395476281447,14.68503653264916,18.59711912084173,0.9807,0.9842,0.9912,0.9913,9.772045348611693,9.644945981139507,9.537047118326276,9.79726971000956
1,0.9686,0.9754,0.973,0.9727,4.644688789099203,4.760159980139544,4.525014336506912,4.64668467057313,0.9732,0.9778,0.9871,0.9865,21.3915966332574,20.452668579605376,20.06686236413745,21.38526235393395,0.9888,0.9901,0.9975,0.9976,5.393140662829686,5.214885799525435,5.158343216076771,5.40855078023854,0.9784,0.9851,0.988,0.9883,9.25747133744529,9.320847196046884,8.04055542535114,9.25513386248403,0.9954,0.9974,0.9971,0.9971,7.873092020885651,8.193728336301609,7.229874273336035,7.870584453535134,0.9753,0.9798,0.9983,0.9983,10.71525735641308,10.63572671910983,9.990367251254908,10.728430244487342,0.9784,0.9904,0.9906,0.9904,0.7346050066245251,0.7162351392485968,0.6850899325173012,0.7312485623726747,0.9783,0.9842,0.9863,0.9863,12.814710236636706,12.778590254637084,11.800691588818449,12.830757602862318,0.993,0.9954,0.9979,0.9979,21.81534416679791,21.71201949819386,16.05062845670998,21.831831836453635
2,0.9693,0.9829,0.9774,0.9773,4.551799455341648,4.712068269098916,4.321015267347025,4.5468898967578735,0.965,0.97,0.9715,0.9724,19.08523049057438,18.529444138827564,18.01762789265616,19.17526680695545,0.9766,0.9878,0.9973,0.9973,5.150045025862108,5.18822522146248,4.5163520462456965,5.1607219450075545,0.9436,0.9482,0.964,0.9641,5.893821905146959,5.838137498244623,5.687323599081511,5.915850989487041,0.9704,0.9827,0.9796,0.9803,5.489711868757967,5.628487902026098,5.138693816167453,5.499648230044495,0.9701,0.9801,0.9873,0.9873,6.5884512557437285,6.525328416635232,5.645168156397395,6.598139862876547,0.9783,0.9851,0.9917,0.9917,0.7506120650702549,0.7412452285384108,0.6713793165304545,0.7499605911137295,0.9833,0.99,0.998,0.998,18.88045984572612,18.816857360598508,17.96110963057888,18.91457521308085,0.9838,0.9978,0.9979,0.9979,21.67797460607456,21.59487096294457,15.58557864113629,21.685974309931368
3,0.9754,0.981,0.9852,0.9852,4.804893409122913,4.678438664788365,4.488131303881995,4.806591531723736,0.9879,0.9922,0.9959,0.9959,24.552328437061192,24.021076114551807,23.492137164514588,24.565664818397074,0.9727,0.9826,0.982,0.9822,3.3989034400818725,3.433739213557168,3.233524994185055,3.4069553281083653,0.9799,0.9858,0.9924,0.9924,10.921901019677186,10.94359937765497,9.104864239547098,10.909462210852588,0.9514,0.9549,0.9625,0.9614,4.869646032329964,4.637487287554583,4.524385949779779,4.844217119592626,0.9877,0.994,0.9972,0.9972,9.167887679204032,9.065524868361528,7.541826197014911,9.176344525955734,0.9827,0.9892,0.9889,0.9886,0.6969584081336644,0.6723988907333631,0.6673912802006883,0.6960845323478467,0.9909,0.992,0.9963,0.9964,16.932615351795427,16.745750911132593,16.304829332764143,16.999788302579432,0.9911,0.9959,0.9976,0.9976,20.83284479691516,20.73660568144341,16.700308254297543,20.841966013400537
4,0.9595,0.9673,0.9745,0.9746,4.455630497617774,4.233157573142631,4.070389675631707,4.458381294029808,0.9653,0.9794,0.9792,0.9798,19.965194280129808,20.298199631708652,18.160974564263974,20.08264231607305,0.9707,0.9744,0.9922,0.9922,4.152832076346462,4.12627645913534,3.8026943027947446,4.155085369301498,0.9878,0.9935,0.9932,0.9932,11.367163912321896,11.3943398334273,9.1406796589928,11.355624289048215,0.9771,0.9837,0.9809,0.9807,5.8789284819458025,6.105499375552869,5.634112187018447,5.867687812008249,0.9747,0.9803,0.9906,0.9907,7.138935815434506,7.026788774934794,6.700147425500339,7.156166400160973,0.9879,0.9913,0.9977,0.9977,0.8314312481731585,0.8034113525757618,0.7890412348874267,0.8322144663977125,0.9799,0.9826,0.9846,0.9847,12.580204772643365,12.000099404508129,11.980753626011197,12.578657834458344,0.9764,0.9812,0.9849,0.985,7.458130611954966,7.411825606000843,6.321630904962149,7.465282646126441
5,0.966,0.9709,0.9709,0.9709,4.364539700067732,4.363319671620861,4.247889007138914,4.368962479232785,0.9878,0.9907,0.9963,0.9962,24.57780132563918,23.58840629137025,23.15980910885612,24.54133763295481,0.9538,0.9601,0.991,0.9911,3.9994436653884464,3.982966259225566,3.5444215048457166,4.002760504350282,0.9735,0.9825,0.988,0.9884,9.28773295437226,9.202056885764955,9.000506521112767,9.31239516961453,0.9809,0.983,0.9829,0.9824,6.352923986549625,6.57972307740479,6.085833400738439,6.354461324085429,0.9849,0.9988,0.9989,0.9989,11.794056772657614,11.692921728418636,8.966926886604814,11.81443216745105,0.9776,0.9856,0.9942,0.994,0.7717882624359198,0.7640462421731246,0.6713825968874491,0.7703566247975658,0.9561,0.9572,0.9721,0.9722,11.007771427316513,10.514348897231123,10.436991900669092,11.033973120258398,0.978,0.9781,0.9833,0.9833,6.802262723336884,6.680477679471184,6.6433630904250345,6.81043457193661
6,0.9766,0.9802,0.9801,0.9802,4.621674740361692,4.6272718704525735,4.522712613016786,4.631459268716039,0.9827,0.9852,0.9876,0.9876,21.807412354203684,20.98969913263708,20.608040284095225,21.773064697738835,0.9785,0.9829,0.9848,0.9851,3.545104202580873,3.490314509268675,3.4159989091043568,3.5499264587857864,0.9799,0.9821,0.9929,0.9929,11.227612777461736,11.196934081095042,10.26218123912633,11.233964291463742,0.9723,0.9736,0.9747,0.9753,5.308181217540607,5.248270712977559,5.199636742152817,5.320667130023448,0.9605,0.9723,0.9855,0.9855,6.334912454240567,6.254175395282358,5.814207845986803,6.350767736164414,0.9793,0.9893,0.9917,0.9913,0.7468741854848021,0.7104801858650042,0.7015607814741323,0.744700200853001,0.9848,0.9937,0.9948,0.9949,16.046979711435437,15.899803398511368,13.912261836322791,16.087375647435856,0.9907,0.9932,0.9932,0.9932,11.187400229649704,11.108818814577027,10.48402944644992,11.198584422981318
7,0.978,0.9834,0.9891,0.9892,5.0094894267114505,4.809239231441584,4.63378351916369,5.005706067637656,0.9964,0.9973,0.9997,0.9997,33.000351646490174,33.33761116698171,28.2881382073546,33.07815324593909,0.9877,0.9881,0.9982,0.9982,5.570301743492244,5.548810407216331,5.384481222096665,5.586027025280963,0.971,0.9727,0.9722,0.9724,6.707973599159075,6.65193712816205,6.514317657819131,6.723301515844713,0.9783,0.9862,0.9837,0.9839,5.936773599202707,6.280719370618177,5.501720357880766,5.961157935741676,0.9851,0.9966,0.9972,0.9972,9.13172446225908,9.054042916942173,7.41454801185885,9.139444979316124,0.9618,0.9669,0.9719,0.9716,0.6222222552938153,0.5930808890970927,0.575840103720177,0.6215170580660789,0.962,0.9856,0.9843,0.9847,12.522964086960574,12.427442270065583,11.188736980491369,12.561786953658444,0.9644,0.9762,0.9753,0.9754,5.465556029419696,5.43227280498099,5.1098890601298805,5.471384306559466
8,0.9861,0.9956,0.9903,0.9906,5.161937017908415,5.507370546671204,4.9308241094541945,5.18338166730198,0.9888,0.9921,0.9973,0.9975,26.20380390489733,26.42653699516609,23.31483411798633,26.28192740161962,0.9511,0.9563,0.9767,0.9772,3.170363313348751,3.103280438951445,2.993077415504276,3.1835289552581583,0.9349,0.9424,0.997,0.997,15.381068817804,15.326236473511068,10.504805421056126,15.384345392737249,0.97,0.9859,0.9801,0.9805,5.537257572886878,5.9300085285484805,5.119934522824003,5.568132124038183,0.9729,0.984,0.9873,0.9874,6.611151192808595,6.444585878289586,6.389916452204947,6.616869308885589,0.9864,0.9925,0.9972,0.9971,0.8201741220498214,0.8109906028271265,0.7272074113058845,0.8182628277007313,0.9702,0.9783,0.9788,0.9794,12.037767595133758,11.651928103132631,11.215311573980184,12.11724994788922,0.9668,0.9702,0.9865,0.9866,7.751023452186446,7.6938746793895,6.919177818341241,7.758322746139965
9,0.9725,0.9726,0.9789,0.979,4.676934943265032,4.490830044356847,4.490807701268678,4.671372321456015,0.9662,0.9684,0.9706,0.9706,19.005453483712216,18.361800732696288,18.021600076967808,18.98724132105072,0.9781,0.9788,0.9878,0.9879,3.7009332613519503,3.5251334877200176,3.5164339045994555,3.719846035175772,0.9868,0.9897,0.996,0.996,14.156169819926085,14.121184962246629,12.172675727053903,14.159328935450624,0.9725,0.9773,0.9739,0.9742,5.270101494746067,5.379734358050266,5.2055922356029765,5.276492172303323,0.9922,0.9961,0.9989,0.9989,11.81231488673291,11.721528575973274,9.641969355088222,11.822969227516596,0.982,0.9909,0.9987,0.9987,0.8459544141428939,0.8425235582482871,0.7317707811747878,0.8449459241255082,0.9807,0.9921,0.9941,0.9941,15.464401917156511,15.432339924865076,14.380589448315115,15.469670393963645,0.9691,0.9783,0.9923,0.9923,10.531454957771327,10.46551894000333,8.257086878695922,10.53748090834933
10,0.9639,0.9831,0.9761,0.9765,4.503432084871664,4.761736032634689,4.184436867196075,4.5108162309243,0.9859,0.9909,0.9952,0.9954,24.367717628056823,24.649416919384414,22.43438633761381,24.426973861429385,0.9841,0.9855,0.9999,0.9999,9.362600676680088,9.35951095634866,7.372496736964863,9.362721582805666,0.9783,0.9788,0.9785,0.9785,7.45169805068441,7.336426882635112,7.232227827749218,7.450085204442272,0.9919,0.9954,0.9947,0.9947,7.224774195471877,7.686350274045827,6.497393053297218,7.244932808293447,0.9644,0.9721,0.9848,0.9848,6.2222386448098375,6.125848121113227,5.878112168073877,6.234292305799607,0.9896,0.9925,0.9929,0.9929,0.7632981527647069,0.7175404010742432,0.7150220760071733,0.7630567244208457,0.954,0.9674,0.9964,0.9964,17.032912220518874,16.992345724450598,13.487016817522049,17.081058797807962,0.9881,0.9954,0.9979,0.9979,21.80829919594195,21.71201949819386,18.69382185094831,21.812606253398915
11,0.9827,0.986,0.99,0.9896,5.20662552747838,5.08241556484689,4.894899078305274,5.209568163743045,0.9868,0.9949,0.9937,0.9938,23.614219284550902,24.097765599438983,22.02408730945517,23.638359061909146,0.9735,0.9798,0.9822,0.9823,3.4593012508558725,3.384517104047803,3.268659995753496,3.457539864925357,0.9814,0.9844,0.9899,0.9899,9.936543149918144,9.879526763341625,9.136084498165552,9.948807452197372,0.9799,0.9856,0.9865,0.9864,6.758317130742904,7.025707595576013,6.117531087921917,6.823749453391418,0.9687,0.9728,0.9993,0.9993,12.37342982137755,12.286975175584985,12.017710751071611,12.38338659570361,0.9654,0.9741,0.9841,0.9837,0.6807048086881142,0.6598144617932862,0.6182192059382312,0.6783589586625669,0.9823,0.9895,0.9994,0.9994,22.241131192961152,22.13852721852291,18.91519792145915,22.2644874837586,0.9842,0.9911,0.9948,0.9949,12.963935014742916,12.897567659544997,12.035536159144833,12.975307585841197
12,0.9623,0.9699,0.9738,0.974,4.574743749350115,4.667169857087254,4.339210064965516,4.571851200203767,0.9776,0.9783,0.9873,0.987,21.52896696458629,20.755777193277112,20.69725596490182,21.47928413121742,0.9726,0.9792,0.9852,0.9856,3.627808221212661,3.552564304313836,3.371331571721693,3.649351672509247,0.97,0.9742,0.9756,0.9757,6.994962982337416,6.88253286947643,6.816584471529464,7.010361369908583,0.9866,0.9921,0.9896,0.9897,6.35575777840066,6.728549185824789,6.065378589954312,6.355020050077344,0.9648,0.9777,0.9991,0.9991,12.173948516100358,12.056189095128016,10.34925477574096,12.190769864204997,0.98,0.9959,0.9959,0.9958,0.7923275250729958,0.7898878335702635,0.7029530015168642,0.7913800240995651,0.9865,0.9885,0.9897,0.9897,13.894326362814478,13.327645078338517,13.315964822879703,13.901179722433394,0.9753,0.9858,0.9966,0.9966,16.537434631330022,16.471537758686996,12.492815683584926,16.538869660289347
13,0.9803,0.9814,0.986,0.9865,5.201227052827543,5.125518141646467,4.993492927790845,5.2087595229931,0.9818,0.9879,0.9959,0.9957,25.88630198587297,26.350288428170437,23.758809317550856,25.877012321965918,0.9411,0.9568,0.9697,0.9697,2.974748429153064,2.9759615217717736,2.6973587670160017,2.972567056974416,0.9929,0.9964,0.9986,0.9986,17.704681158862943,17.71642179331863,13.182525329000354,17.70179772969132,0.9439,0.9474,0.9613,0.9614,5.044862464572313,4.921100203012202,4.747831673041821,5.063357172308118,0.9781,0.9837,0.9855,0.9855,6.349565820996486,6.254423500891461,6.0645792937810015,6.364679112202437,0.9578,0.9682,0.9673,0.9664,0.6094891775846647,0.5755134395329169,0.5643652650725195,0.6060491428274146,0.9772,0.9784,0.9898,0.9899,13.8514533565563,13.650149228596508,13.272372939538512,13.90631228750634,0.9907,0.993,0.9985,0.9985,25.19005888854625,25.06595640951416,21.392152843149788,25.19869169130488
14,0.9651,0.9711,0.9713,0.9712,4.403033736974804,4.403703525363525,4.241835546746048,4.409354998837943,0.9815,0.9882,0.9933,0.9933,23.245851613467813,23.21720604887684,21.557048466607423,23.336342186138918,0.9829,0.9875,0.9959,0.9959,4.759596462333929,4.776297636729437,4.2015061895343,4.758552354130513,0.9639,0.9758,0.9904,0.9904,10.199093707568288,10.189301725875715,8.119851506231027,10.190776625666658,0.9803,0.9888,0.9837,0.9831,6.694318811037888,7.159408965605433,6.5102770991461885,6.715928730236886,0.9695,0.9705,0.9956,0.9958,8.412228248236651,8.240574412972261,8.18846133865443,8.42305849752024,0.9767,0.9808,0.9879,0.9875,0.7077107707936842,0.6590467440169814,0.6545727352675773,0.7043808326738319,0.9738,0.9746,0.9976,0.9976,18.17119352161293,17.88117895603386,17.51354631646608,18.2487569021364,0.9713,0.9756,0.9859,0.9859,7.679892793844951,7.54640303058579,7.4790786073977,7.682917493126834
15,0.9809,0.9918,0.9859,0.9857,4.891693855798257,5.159524101981276,4.679734716294529,4.8920811346139885,0.92,0.9271,0.9453,0.9462,16.291153098458974,15.030626214707974,14.717245057690493,16.33087355694016,0.9908,0.9947,0.9953,0.9953,4.734693416575214,4.736940479626532,4.288902390225366,4.728827569995066,0.956,0.9653,0.9909,0.9909,10.267134321821842,10.238482541512765,9.500314445090394,10.258699996646094,0.9593,0.9619,0.9625,0.962,4.916160192755456,4.890774959172971,4.8114365840048805,4.8980749925229565,0.9743,0.9891,0.9884,0.9885,6.642265897312127,6.561644992620848,5.563701976315011,6.650222947721218,0.9677,0.9698,0.9713,0.9711,0.6193186286781345,0.5801177897411323,0.5752052693218832,0.6181120353184919,0.9686,0.9784,0.9922,0.9922,14.737769975869728,14.64666563087444,12.767553500189262,14.73472784748738,0.9956,0.9994,0.9998,0.9998,58.88008160380048,58.65748133999269,36.43173118028378,58.89237730340693
16,0.9669,0.9829,0.9747,0.9742,4.708870259183204,5.005976849166899,4.487179938739876,4.7371963874477485,0.9688,0.9713,0.9763,0.9766,19.437752167040824,18.743730822637044,18.501489157244027,19.446989550283035,0.9762,0.9793,0.9944,0.9945,4.334570795819658,4.20644174849422,4.177753313309034,4.345460244360842,0.9889,0.9947,0.9958,0.9958,13.78268518055386,13.724786687603498,12.389828104278273,13.797002634072722,0.9858,0.9888,0.9894,0.9893,7.218453421494615,7.447958837509086,6.3362053482039,7.2045537298638,0.9323,0.9389,0.9931,0.9932,7.575225499732967,7.506030724638574,6.401179727161002,7.580420701454313,0.9825,0.9839,0.9855,0.9851,0.6778631864490192,0.6500872494570631,0.642428412616142,0.6770895370929175,0.9693,0.9732,0.9871,0.9872,13.08284943036808,13.041712940997051,12.0939550377762,13.086279802825429,0.9585,0.9761,0.9875,0.9876,8.18552080786056,8.1282411832452,7.318521287893693,8.19823057525549
17,0.9878,0.9955,0.9923,0.993,5.241164451151489,5.638745183829967,4.981489894369881,5.259864366373354,0.9529,0.9563,0.9612,0.9601,17.5746496895531,17.18018468294381,16.86583092072046,17.486714554442408,0.9688,0.9749,0.9792,0.9794,3.3676335435742395,3.2129439432696563,3.1226207948039613,3.362390263335049,0.9837,0.9925,0.9931,0.9931,11.267623287587645,11.271207363826418,8.511700645176557,11.271079720633551,0.9555,0.9677,0.9646,0.9642,4.9411045098922255,5.046456808993578,4.659641141912816,4.935818082070081,0.9724,0.9859,0.9998,0.9998,13.83378852169946,13.69981263164553,9.877043801808773,13.844707733394433,0.9727,0.9756,0.9998,0.9998,0.9205313248211467,0.915954783171852,0.8126541840719469,0.9196489899422298,0.9892,0.9941,0.9988,0.9988,20.45583968774954,20.1906342650488,18.93419142393424,20.48700275344481,0.9314,0.9547,0.9567,0.9569,3.8978783651912647,3.887781353838457,3.5230630282960207,3.896964643662551
18,0.979,0.9844,0.9817,0.9818,4.69072163200754,4.790319288318761,4.585499700990587,4.710221086623667,0.9842,0.9937,0.9958,0.9963,26.128060098867827,26.855446512145303,24.224919950114423,26.298645573218597,0.9545,0.9581,0.9946,0.9946,4.457666539743721,4.446087968596078,3.93193000348458,4.459509114071575,0.9934,0.996,0.9967,0.9967,15.23955152719375,15.224561098428785,13.71565124930441,15.243835991543584,0.9731,0.983,0.9794,0.9795,5.842061997266333,6.1615738036910095,5.435837629150971,5.83855038560041,0.9804,0.9955,0.9955,0.9955,8.430656461713095,8.332101121625891,7.423645370804636,8.443847432903647,0.9652,0.9688,0.9868,0.9867,0.6865662973475579,0.6597845703417244,0.6462616276653834,0.68499619752419,0.978,0.9889,0.9957,0.9958,16.347548708871066,16.317355956402057,12.711179235794583,16.364231674942392,0.959,0.962,0.9856,0.9857,7.639966113069446,7.578432073939234,7.4316620322498625,7.654683356753236
19,0.9622,0.9804,0.9763,0.9761,4.651801015049077,4.861417643586493,4.372659864407393,4.640217316340075,0.9733,0.9824,0.9873,0.9869,21.42961777674145,21.06119325396104,19.93951776009113,21.374005838497677,0.9837,0.9852,0.9949,0.9949,4.558673598781524,4.54854585163986,4.376958920038756,4.569403770046125,0.9823,0.9867,0.989,0.989,9.488484234367569,9.47807149156684,8.48863277083388,9.48941923195259,0.9596,0.9687,0.9695,0.972,5.103118662241945,5.107221172907298,4.785470099038011,5.196864113865659,0.9591,0.9649,0.9806,0.9807,5.8232439008573165,5.767535190742234,5.476763230792107,5.832216233286054,0.9151,0.9252,0.974,0.9734,0.6143974621662909,0.5857610266485846,0.5718810984284644,0.6110626879844926,0.9871,0.9935,0.9942,0.9945,15.782268408765333,15.60247416208137,14.958916594824878,15.832810798412906,0.9713,0.9761,0.9762,0.9763,5.604823871531665,5.550641825788001,5.014535951111994,5.6153901438502425
20,0.9852,0.9914,0.9905,0.9913,5.475018681858334,5.818180448445489,4.979067519129203,5.4923093623334855,0.9647,0.9747,0.9914,0.9912,23.788198312622647,22.45119850339012,22.006145589806437,23.858525215334183,0.9656,0.9699,0.9734,0.9738,3.1399997034580807,2.9983794039850684,2.9665484546575938,3.149346626426889,0.9918,0.9943,0.9966,0.9967,15.13550259085032,15.095019531142556,13.0654531734537,15.150744856146389,0.9741,0.9785,0.9795,0.9797,5.616884048948603,5.550246325292756,5.306494639710083,5.6260374482636895,0.9776,0.986,0.9961,0.9961,8.547258093454037,8.464962858667183,7.461308567105474,8.559070991512147,0.9789,0.9835,0.9944,0.9944,0.770190227478883,0.7634115867583545,0.7174123158524227,0.769519929206541,0.9426,0.9589,0.9654,0.9656,10.26599351143392,10.228747388144107,9.51563977728361,10.29363514732731,0.9723,0.9935,0.9967,0.9967,16.859339397828514,16.80412089713899,14.56708288074337,16.860635806988487
21,0.9751,0.9894,0.9834,0.9827,4.856673229815424,5.20778050192424,4.483793708040662,4.863023679188107,0.9685,0.9734,0.9735,0.9735,19.60577057686404,18.930531112411547,18.33126858199059,19.50943062129104,0.9807,0.9837,0.9981,0.9981,5.423742049109825,5.447542384730098,5.020271968297621,5.434085647263473,0.9734,0.9877,0.9898,0.9898,9.80308252870718,9.803969531113092,8.209197247809604,9.809719722243877,0.9546,0.9582,0.9687,0.9692,5.075767702085214,4.748169851540448,4.670999323699153,5.073463908574761,0.9685,0.9815,0.9999,0.9999,14.116814074352206,14.015785396990768,10.246284506574238,14.126397387001523,0.9731,0.9811,0.9903,0.9903,0.7267541725570269,0.7046537085547907,0.6826819656498706,0.727963913583739,0.9788,0.9847,0.9945,0.9945,15.96103223138564,15.852161955913118,14.905042714260688,15.987473960549163,0.9677,0.9693,0.9708,0.9708,4.957158949305491,4.909999746792249,4.814543918080615,4.966125224402968
